strategy,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,days,e_start,e_end,updates,changed_updates,emergency_slots,inventory_adjusted_cost
no_update,20207999.49964434,741883.259294017,12293215.436228836,0.0,4235500.228758115,16528715.664986951,618610.3257610535,1202593.8153580108,334,1436.1139618518516,1200.0,0,0,4626,16528878.48386248
state_only,20520071.80436874,322478.9695254118,12719676.929695781,316280.6639041525,1559365.0031911132,14595322.596791046,530052.5206961072,1169672.1822313298,334,1601.9050259990738,1200.0,1002,800,3756,14595599.741454111
rolling_point,20286082.162291504,296556.8143877268,12478334.682425275,605444.8788785101,1427092.137327647,14510871.698631432,305821.7140091072,1110088.1484209066,334,1615.1408862037065,1200.0,1002,961,3605,14511157.970445888
rolling_margin,21116517.106449556,41158.7452566645,13072986.733192824,583134.556758521,196051.51898144366,13852172.808932787,736573.3469718972,1283611.490234955,334,3910.1342045925076,1595.9336270222252,1002,869,662,13853768.629581567
rolling_scenario,20981222.55291759,19362.54141880097,12959330.76835178,641629.1891606953,96295.53843464519,13697255.49594712,622412.9453267023,1226438.2350101646,334,2119.6221033981474,1348.087187444445,1002,758,320,13697787.529065628
rolling_point_step,20577580.034952804,665914.4662188785,12776438.352193797,504360.0283169306,3137891.061717284,16418689.442228012,1035311.3051878128,1050902.0109428938,334,1615.1408862037065,1200.0,1002,835,5748,16418975.714042468
