method,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
fixed,2025-02-01_to_2025-12-31,334,21619409.083064187,88309.57478443123,14031242.613703527,545088.8901981245,14576331.503901651,1155679.2889654827,1430853.366915595,6265139.944016431,5083143.437015557,10800.0,1488.7973752814803,0.7575275199600799,14582679.646910585,671,77,5.631768829061912e-09
mean7,2025-02-01_to_2025-12-31,334,21599339.138332047,89217.88363879581,14013336.765844619,537358.6992570445,14550695.465101663,1130272.454834975,1440794.2645328736,6245688.8947293395,5067388.087093012,10800.0,1488.7973752814803,0.7575275199600799,14557043.608110597,755,77,6.091056548029883e-10
mean14,2025-02-01_to_2025-12-31,334,21600899.88095507,89748.44933919868,14009065.84557175,538673.6812168722,14547739.526788622,1135810.2627604029,1439638.869055335,6233630.451969022,5057620.748457155,10800.0,1488.7973752814803,0.7575275199600799,14554087.669797556,770,77,1.6422063708887435e-10
saa_load,2025-02-01_to_2025-12-31,334,21171234.26687941,71441.44339070107,14047981.729703255,430734.2584661833,14478715.988169437,771690.4148200467,1435108.757359884,5808115.921410031,4711428.878286515,10800.0,3183.353395121934,0.7575275199600799,14483908.825641142,469,334,4.976186573912855e-09
oracle_actual,2025-02-01_to_2025-12-31,334,20234199.203769617,8.295399922531032e-11,12837633.256088527,3.8052410555877713e-10,12837633.256088527,1.3418954836197372e-10,990168.0903121401,6913061.149951645,5608219.531460833,10800.0,1200.0000000000007,0.7575275199600799,12844178.293860981,0,97,8.537881512893364e-11
