method,days,mae,rmse,rank_correlation,high_quartile_overlap,low_quartile_overlap
blend_a000,84,0.09593184523809524,0.13265616113959294,0.9251318275552026,0.8356481481481479,0.6736111111111113
blend_a025,84,0.08886011122330877,0.12118825247631662,0.9415402201972566,0.865079365079365,0.7179232804232805
blend_a050,84,0.08431562293320105,0.11234679547770679,0.9509724804029545,0.890873015873016,0.736441798941799
blend_a075,84,0.08255700925335412,0.10678617343004812,0.9536851716329002,0.8991402116402117,0.7357804232804233
blend_a100,84,0.08283733288454272,0.10502878502311334,0.9538593720213487,0.8978174603174606,0.7337962962962963
mean7,84,0.08082018376795162,0.10314032396870279,0.9523311552491561,0.896164021164021,0.7258597883597885
rolling_cost_selector,84,0.08282251836498489,0.10994044977843466,0.9509229777201759,0.8882275132275133,0.7357804232804233
rolling_mae_selector,84,0.08102162565547052,0.10703686636156096,0.9532423867025706,0.896825396825397,0.7377645502645501
oracle_alpha_daily,84,0.08650615699404762,0.11377069838269814,0.9485662053558777,0.8826058201058206,0.7278439153439153
