method,window,period,date,selected_alpha,selector_score_type,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
blend_a100,val_august,validation,2025-08-27,1.0,none,2289.724857334393,1885.1668969915347,76984.80180751321,16.225255619048085,55440.75394942533,134.3372614190515,55575.09121084438,3149.673414190475,2413.5014,20462.1344557037,16938.431073428572,55885.81144658826,2,LP,0.005580800003372133,7.673861546209082e-13,0
blend_a100,val_august,validation,2025-08-28,1.0,none,1885.1668969915347,1928.8909241407414,76463.18450198119,46.880709523809514,55493.47493569688,388.3171611380952,55881.79209683497,1681.3897400482101,0.0,21165.941387837738,17105.060899714284,55847.811777843344,3,LP,0.006489000021247193,8.242295734817162e-13,0
blend_a100,val_august,validation,2025-08-29,1.0,none,1928.8909241407414,1784.4022373777775,41237.63937088066,0.0,23127.229767849167,0.0,23127.229767849167,935.0406792380963,15194.943568605528,14118.287321703701,11565.852548666666,23213.642220327478,0,MILP,0.10230790000059642,7.958078640513122e-13,0
blend_a100,val_august,validation,2025-08-30,1.0,none,1784.4022373777775,1574.0628858211644,41384.38355317107,0.0,23501.318090701345,0.0,23501.318090701345,775.7798762622007,19893.057324432688,12590.168081809521,10387.341562666667,23625.249247865933,0,MILP,0.119303299987223,4.092726157978177e-12,0
blend_a100,val_august,validation,2025-08-31,1.0,none,1574.0628858211644,2395.7523527111116,78414.74288740623,26.50513619047615,56014.86953148211,218.3203532838092,56233.18988476592,4539.249831626106,2629.044000000001,20456.897833875366,15830.566725238095,55607.15700528447,3,LP,0.006144400016637519,9.348077867343818e-13,0
blend_a100,eval_september,evaluation,2025-09-10,1.0,none,4786.2408636984155,4596.088809841269,67860.3791468054,968.5033833333317,45661.13760540146,5167.422119424991,50828.55972482645,3864.563686658431,0.0,20102.405483956492,16454.085290476192,50962.35855369256,7,LP,0.008783500001300126,9.094947017729282e-13,0
blend_a100,eval_september,evaluation,2025-09-11,1.0,none,4596.088809841269,4802.58733751852,69292.72779655732,0.0,45546.34378408827,0.0,45546.34378408827,7376.39198123692,4680.02805,18707.227931987065,14967.005949999997,45406.387858216054,0,LP,0.005635000008624047,8.952838470577262e-13,0
blend_a100,eval_september,evaluation,2025-09-12,1.0,none,4802.58733751852,5090.179315724865,35096.855935757136,0.0,17572.68698908223,0.0,17572.68698908223,1114.4127548571428,19762.82313299236,12679.637197483831,10011.673349576191,17423.83603172712,0,MILP,0.10970880000968464,1.8189894035458565e-12,0
blend_a100,eval_september,evaluation,2025-09-13,1.0,none,5090.179315724865,5450.036683296296,35155.667926419046,0.0,17568.39046904141,0.0,17568.39046904141,725.114016449148,23653.009371646087,12876.691706190477,10106.248651199998,17384.912017235456,0,MILP,0.10408389999065548,3.637978807091713e-12,0
blend_a100,eval_september,evaluation,2025-09-14,1.0,none,5450.036683296296,4949.312271687833,68050.33159419635,0.0,45840.92316843022,0.0,45840.92316843022,4723.577254285706,146.7241269077006,18586.091755002944,15505.386292,46190.58684887534,0,LP,0.006255699991015717,1.0231815394945443e-12,0
