strategy,period,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,days,e_start,e_end,emergency_slots,milp_days,adjusted_cost
target1200,development,6050183.6769687375,23326.01146559293,3726648.602427065,147421.03490488252,3874069.637331947,772307.2470140517,553783.1623283597,89,10800.0,1362.0423037460303,152,0,3880577.8406052357
target1200,later_1,8794706.12066269,67672.44046389082,5554818.78341765,397194.3704503262,5952013.153867975,1130564.8896969093,879676.1871241519,123,1362.0423037460303,2034.8183284761901,510,0,5951549.222658781
target1200,later_2,9251058.55547739,29226.068976071354,5877480.584075938,166664.95925238935,6044145.543328327,1211729.5194261477,624930.0464399471,122,2034.8183284761901,1269.2127688994724,225,0,6044673.487696086
target3600,development,6068268.514354383,23196.88974364055,3730194.0036421535,147116.5863031467,3877310.5899453,787525.3095904087,553829.1658579776,89,10800.0,3717.4171210105806,140,0,3882194.5797405364
target3600,later_1,8830668.21339531,60716.98133572666,5564540.994266377,383082.68047166563,5947623.674738042,1158209.1294545343,879855.0818745986,123,3717.4171210105806,4303.611423047618,381,0,5947219.448336729
target3600,later_2,9275686.790967332,29045.03440256184,5882322.786137016,165923.50467241777,6048246.290809433,1235977.3516789638,624942.1431104644,122,4303.611423047618,3598.3656256190484,219,0,6048732.612443309
target8400,development,6203852.402238286,23185.170607407217,3786621.528202495,147038.06809038337,3933659.5962928785,917965.2693027013,553867.049818101,89,10800.0,8402.818425079364,140,0,3935312.638770358
target8400,later_1,9018377.586069591,61042.30736540508,5642764.876865868,384874.805438009,6027639.682303878,1346802.032541354,879751.1492653041,123,8402.818425079364,8939.002924010583,383,0,6027269.941537566
target8400,later_2,9458271.445459278,29067.69889411421,5958461.91893452,166052.099417232,6124514.018351752,1418496.4489163556,625012.9554307525,122,8939.002924010583,8311.905562190477,218,0,6124946.4505827725
horizon48,development,6208185.735571619,23185.170607407217,3788457.3360475786,147038.06809038337,3935495.404137962,922149.2627609554,553837.5734054731,89,10800.0,8552.818425079364,140,0,3937045.009990442
horizon48,later_1,9024377.586069591,61042.30736540508,5645308.099139193,384874.805438009,6030182.904577202,1352821.9497876796,879717.8154091313,123,8552.818425079364,9089.002924010583,383,0,6029813.16381089
horizon48,later_2,9464317.970708271,29048.84755991421,5961056.284079086,165958.68850939328,6127014.9725884795,1424479.5637902159,625027.7326902762,122,9089.002924010583,8461.905562190477,218,0,6127447.4048195
planned_reserve,development,6128752.180942836,38269.58446323579,3755223.54365356,188736.45598820588,3943959.999641766,860865.6611639594,557038.7882178659,89,10800.0,6048.244373650792,1034,0,3947236.7034071945
planned_reserve,later_1,8907518.970324023,99957.13841809727,5596296.434460802,462837.9729320024,6059134.4073928045,1273215.9071697944,890274.4544149961,123,6048.244373650792,6611.976598010581,1933,0,6058745.670334861
planned_reserve,later_2,9357605.035861017,46609.86418758844,5916189.084544281,205908.44476451314,6122097.529308793,1336528.7422351672,627961.6871928512,122,6611.976598010581,6000.0,1489,0,6122519.5346013075
combined,development,5409429.198993166,13047.148922756167,3231384.147385107,85196.80264725216,3316580.950032359,267325.98715113284,384237.201078873,89,10800.0,1574.2241074687856,61,22,3322942.837507891
combined,later_1,7924065.1946358215,57681.18735739995,4918120.806722521,329524.1198662621,5247644.926588783,477579.3122538274,633277.1965949843,123,1574.2241074687856,2386.5437421291017,483,33,5247084.769245913
combined,later_2,8285914.6894352,17581.238504275123,5150328.375539659,90574.95052111542,5240903.326060775,410773.9895605225,413338.9692417378,122,2386.5437421291017,1488.7973752814803,127,22,5241522.39175606
combined48,development,5437717.303554715,13022.503081864732,3237484.7630829066,85043.38113752822,3322528.144220435,278828.46531008126,386683.2721215667,89,10800.0,8712.539324268786,61,22,3323967.610134554
combined48,later_1,7987770.864510681,50645.20301548466,4937310.889841663,315791.0541214026,5253101.943963065,507888.39415543474,637123.5598012382,123,8712.539324268786,9430.978224573546,325,33,5252606.52466229
combined48,later_2,8345383.055809462,17292.624623393218,5167668.590955596,89450.85560577898,5257119.446561376,461618.79862710845,411496.0574268779,122,9430.978224573546,8617.664146399999,118,22,5257680.289650117
