strategy,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,days,e_start,e_end,emergency_slots,milp_days,inventory_adjusted_min,inventory_adjusted_mean,inventory_adjusted_max
baseline,19060185.751603357,2727466.887758678,37008079.489250004,11558527.63757016,16495984.060056739,28054511.697626896,1634140.4067266162,1234620.287001503,5182484.650493297,4202782.199826049,334,10800.0,5278.185637248676,7880,130,28056356.922332495,28058319.416570626,28061445.329485916
q0.6,22747148.14978669,513982.7536362777,37008079.489250004,14180633.728847586,3222159.606347003,17402793.335194584,1831738.322066291,2375758.578722091,5889289.186435872,4774844.678767965,334,10800.0,5777.2913834338615,2612,0,17404471.773732983,17406256.882045623,17409100.249950234
q0.7,23549903.663502254,255291.25690458863,37008079.489250004,14700191.822474118,1595006.304736735,16295198.127210867,1926947.887403801,2814103.2233448583,5944284.691473408,4819330.37678189,334,10800.0,5844.692568407408,1525,0,16296854.042295283,16298615.195721276,16301420.407646568
q0.8,24409695.834504973,113176.68146839319,37008079.489250004,15274475.665072707,697297.1805079117,15971772.845580608,2058647.642340154,3414694.9894868424,5866882.661418952,4756542.272239252,334,10800.0,5947.426122333334,742,0,15973394.430193307,15975119.071343735,15977866.125547316
q0.85,24904607.322581712,71782.60754744704,37008079.489250004,15614515.922094082,441515.44437427126,16056031.36646836,2136112.829224013,3807057.71402746,5780334.974116243,4686305.082205222,334,10800.0,6095.829809929892,500,0,16057603.359020777,16059275.256387604,16061938.298892628
q0.9,25571224.357085243,41195.385785120445,37008079.489250004,16071330.92121913,252099.81764783955,16323430.738866966,2221647.3915154063,4379784.790392724,5662678.198964584,4590880.1329690255,334,10800.0,6232.453546986771,316,0,16324957.07586517,16326580.416131169,16329166.115597086
q0.95,26505601.179150917,21987.14028364878,37008079.489250004,16738430.323001917,135452.9554148438,16873883.278416757,2329880.369268154,5225018.228658038,5460213.359526434,4426713.132984711,334,10800.0,6421.875812993388,185,0,16875346.31617633,16876902.33434832,16879380.801395897
operational,24409695.834504973,113176.68146839319,37008079.489250004,15274475.665072707,697297.1805079117,15971772.845580608,2058647.642340154,3414694.9894868424,5866882.661418952,4756542.272239252,334,10800.0,5947.426122333334,742,0,15973394.430193307,15975119.071343735,15977866.125547316
