method,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed,6,84,5508709.05807228,8447.77389010569,3597406.41804093,57249.73217092976,3654656.1502118595,343240.35245326394,390106.15910584596,1559873.0270618822,1263314.558441939,3654397.040122495,13422.882924933336,13625.764567361915,62,17,2.595470505184494e-10
mean7,6,84,5501757.717897026,8441.098323659964,3590174.9085823796,53683.82967708323,3643858.738259463,334242.99449855735,394359.8254715954,1548415.8848229393,1254071.740355739,3643634.07533292,13422.882924933336,13584.134425868791,67,17,8.736833478906192e-11
mean14,6,84,5504029.240799884,8309.559750827588,3589189.320321145,52901.548570757026,3642090.868891902,336617.53485253855,393496.682785077,1551799.5364732002,1256826.805343437,3641876.4790901365,13422.882924933336,13568.237591439161,66,17,7.747126397185235e-11
saa_load,6,84,5368517.82727434,6861.160064745033,3593679.188527678,43318.81346171355,3636998.0019893916,217062.79277085146,395173.93001626234,1425094.8923340354,1149204.4795653971,3632898.957565592,13422.882924933336,19114.419841790652,37,0,8.901679393602535e-11
saa_joint,6,84,5363261.635531906,7028.210627087192,3595343.774009131,44645.299010330615,3639989.0730194617,212857.82269356403,395663.9920398518,1422707.7252648347,1148191.5456225905,3636568.125442221,13422.882924933336,18091.45163818416,37,0,1.2280452210688964e-09
saa_shuffled,6,84,5362861.347912922,7028.210627087193,3595097.4101414657,44645.313025893964,3639742.72316736,212411.83701551688,395667.10226973216,1422603.7425762261,1148044.975104799,3636268.492403951,13422.882924933336,18160.723349315547,37,0,7.219114195322618e-11
oracle_actual,6,84,5073606.999826863,1.487512335529573e-11,3230394.7329713074,5.622074716882253e-11,3230394.7329713074,2.787192698860963e-11,263871.5740152264,1726758.782424971,1404275.2083966667,3234534.9812261034,13422.882924933336,7200.000000000004,0,26,5.1954884838778526e-11
