method,window,period,date,selected_plan,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,dev_april,development,2025-04-19,mean7,2146.0427089597865,2102.49358338201,26817.021450395066,0.0,10644.189084501631,0.0,10644.189084501631,502.6140351428577,17138.474211944736,12791.83245435509,10400.578501047616,10666.058529947872,0,MILP,0.14398870000150055,7.044320682325633e-11,0
mean7,dev_april,development,2025-04-20,mean7,2102.49358338201,2004.9647056825395,59893.79465677366,0.0,35568.08304688317,0.0,35568.08304688317,1824.0274476566751,2296.7300092592614,20542.464770810107,16727.172454285716,35633.51468328736,0,LP,0.005698499997379258,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-21,mean7,2004.9647056825395,1556.635825121692,59565.82752857378,0.0,34899.397511498326,0.0,34899.397511498326,3333.080796787777,4531.779607807178,18881.856490264538,15697.799749619046,35195.544235813846,0,LP,0.008176100003765896,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-22,mean7,1556.635825121692,1700.3999453449717,59562.37393252675,0.0,35585.0734247104,0.0,35585.0734247104,1375.9065380117645,2114.6451166666666,19944.76448937213,16025.871528190475,35487.90864700599,0,LP,0.007280699996044859,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-23,mean7,1700.3999453449717,1839.7115881841248,59834.213665941206,0.0,36024.71298042296,0.0,36024.71298042296,2282.318415319226,2317.434086154025,19521.915627610815,15687.371179809523,35930.93935325552,0,LP,0.005668900004820898,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-24,mean7,1839.7115881841248,1811.7563899714291,58730.270002601996,0.0,34997.291489699695,0.0,34997.291489699695,2763.623562070548,5304.634016666667,18931.923169769547,15360.017445904761,35015.81366054749,0,LP,0.008203200006391853,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-25,mean7,1811.7563899714291,1757.9912371132332,26134.420847982365,0.0,9935.18181410262,0.0,9935.18181410262,276.4841164761913,21542.75187632569,12437.97811975191,10123.150914571426,9961.345147199358,0,MILP,0.1483742000127677,2.7853275241795927e-11,0
mean7,dev_april,development,2025-04-26,mean7,1757.9912371132332,1528.5528376656105,26058.808989927096,0.0,10141.02519373696,0.0,10141.02519373696,38.131557619047726,23809.58066188712,12354.724718897114,10213.821581809521,10252.078971630595,0,MILP,0.15446039999369532,8.08597633294994e-12,0
mean7,dev_april,development,2025-04-27,mean7,1528.5528376656105,1485.078089274073,55806.05916888888,411.3873713276225,32897.711702169065,2698.9068495948673,35596.61855176393,1556.6705794285708,2312.4665545326293,20073.502613022923,16298.66439010095,35625.32946580373,1,LP,0.006581900001037866,8.810729923425242e-13,0
mean7,dev_april,development,2025-04-28,mean7,1485.078089274073,1504.9808207925923,55359.6419113933,4435.1321416571345,33261.08059926922,28035.6748130333,61296.75541230252,182.88320895238041,0.0,15642.1635213933,12652.23999396191,61283.03353625311,12,LP,0.005799499980639666,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-29,mean7,1504.9808207925923,1708.2381589777765,57695.52719732746,96.27080951237485,33935.6836587988,637.1202173528968,34572.803876151695,2043.62815207995,4646.779830463265,18343.393175069956,14675.216867440004,34439.19380821819,1,LP,0.006479800009401515,8.952838470577262e-13,0
mean7,dev_april,development,2025-04-30,mean7,1708.2381589777765,1638.3538020497374,57021.5283289371,0.0,33636.510366742375,0.0,33636.510366742375,2016.4083002222221,3357.443145504997,18177.46511111464,14786.642661238093,33682.389316032466,0,LP,0.00685239999438636,8.86402062860725e-13,0
mean7,val_june,validation,2025-06-08,mean7,1781.3549957153423,2168.5444668285722,86851.65452567783,19.011776857142877,59329.39505745775,131.58670150204773,59460.981758959795,16754.182441733097,1846.0099666666665,14405.684755087603,11320.134127619047,59183.22316408046,3,LP,0.00612639999599196,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-09,mean7,2168.5444668285722,2158.59677504762,85337.00364660905,26.182083523809524,59573.28494116941,184.1079778854762,59757.39291905489,9959.425201823638,981.6363156096456,18412.444220890055,14923.032741523808,59764.72765685304,2,LP,0.0077631000021938235,6.821210263296962e-13,0
mean7,val_june,validation,2025-06-10,mean7,2158.59677504762,2333.217336100531,85896.75485483598,0.0,59637.62217532497,0.0,59637.62217532497,10041.68915973428,458.2999333333329,19058.75275519694,15280.431226761904,59509.25227089964,0,LP,0.007773499994073063,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-11,mean7,2333.217336100531,2446.1562815566153,86497.30005293591,2.011921428571327,60101.55703580572,13.950663185713582,60115.50769899143,6068.136095403885,0.0,22342.55005991299,17995.820497619046,60030.969863083395,1,LP,0.005048300023190677,8.526512829121202e-13,0
mean7,val_june,validation,2025-06-12,mean7,2446.1562815566153,2602.310028023281,87227.27237338154,0.0,61109.40406178388,0.0,61109.40406178388,10616.774849328634,541.7576999999998,18293.736941576713,14677.388550857142,60993.88386245404,0,LP,0.005017299990868196,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-13,mean7,2602.310028023281,2575.636351815873,39870.784257312174,0.0,20188.263742981435,0.0,20188.263742981435,1700.8743562304544,7516.404527204,12274.726223496767,9966.534549619048,20203.628480660904,0,LP,0.008925700007239357,8.526512829121202e-13,0
mean7,val_june,validation,2025-06-14,mean7,2575.636351815873,2621.9770834973533,40161.01455702763,0.0,20731.87915139123,0.0,20731.87915139123,1845.078009523812,9772.498067656676,12149.416164914754,9799.320435067613,20705.31754184308,0,LP,0.008164300001226366,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-15,mean7,2621.9770834973533,3274.0756011640224,88655.19257128982,0.0,61685.053972073,0.0,61685.053972073,13393.37323958025,298.84709999999995,19732.15385513815,15396.155956761902,61205.08052619861,0,LP,0.0068208999873604625,8.526512829121202e-13,0
mean7,val_june,validation,2025-06-16,mean7,3274.0756011640224,3169.124030929103,87193.37376454085,0.0,61398.598300270256,0.0,61398.598300270256,10706.065882563205,271.4355833333334,19033.03102731099,15511.211545333332,61476.35875530979,0,LP,0.00540779999573715,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-17,mean7,3169.124030929103,2703.398861549207,86364.67990742621,0.0,60540.05004255258,0.0,60540.05004255258,8366.83674970018,194.24276666666685,18872.325404392697,15705.736229999999,60887.37099133872,0,LP,0.006558199995197356,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-18,mean7,2703.398861549207,2982.7942848275147,87152.17912865608,0.0,61021.27475371561,0.0,61021.27475371561,12644.475697422693,88.67290000000003,17048.33552780482,13557.695896571428,60815.06835854217,0,LP,0.005047300015576184,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-19,mean7,2982.7942848275147,2739.674852192594,85047.43832933922,48.66240171428569,58601.06932509233,334.32397563485705,58935.393300727184,12027.547591402708,1736.3104999999996,17323.92594222222,14251.187502571427,59112.170150635044,2,LP,0.005579999997280538,9.094947017729282e-13,0
