strategy,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_margin_mean14,development,2025-03-20,66682.9763420039,0.0,42094.39465665973,3517.5225248243923,0.0,45611.917181484125,890.8165280576119,0.0,2064.228248676542,1650.9419858222243,3,3,0
rolling_margin_mean14,validation,2025-06-21,35231.76509539333,0.0,18159.152662943696,179.43660580471047,0.0,18338.589268748405,1476.062080355558,11739.180376285321,2928.778918229633,3308.8714523407407,3,3,0
rolling_margin_mean14,evaluation,2025-09-23,69656.48098080794,0.0,46500.71218368736,1339.3624356029277,0.0,47840.07461929029,3172.4576193580224,443.93678922222455,3255.3770460740757,3203.861927925927,3,2,0
rolling_margin_mean14,evaluation,2025-12-21,96990.25475599314,0.0,73225.71295810981,1876.6485009537573,0.0,75102.36145906357,3427.3207848120746,0.0,1838.9430580271624,1860.9625091333344,3,2,0
