strategy,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,updates,changed_updates,emergency_slots
rolling_margin_mean14,development,89,5261003.656191125,388.4376061600029,3204260.9186785677,157469.04644784643,1794.5763347298357,3363524.541461144,159168.3481779326,318884.6933409041,2119.6221033981474,1696.9410225111126,0.7303922986891385,3363802.3921667975,267,210,18
rolling_margin_mean14,validation,123,7723787.722428627,31829.58422653776,5235107.849268109,248074.0687909406,142194.3342887264,5625376.252347775,291889.43911191175,591466.4221868012,1696.9410225111126,2496.912165927164,0.7685239216350498,5624822.935083475,369,359,600
rolling_margin_mean14,evaluation,122,8093416.4845378,12444.215529290543,5324480.2396515785,213928.82978679595,76152.43393853624,5614561.50337691,260455.89853653894,366205.48048927676,2496.912165927164,1595.9336270222252,0.7662363501821494,5615182.829633429,366,293,136
