method,window,period,date,mae,mse,rank_correlation,high_quartile_overlap,low_quartile_overlap
fixed_attachment1,dev_march,development,2025-03-07,0.1576958333333333,0.029707297361111114,0.9011697305021121,0.8333333333333334,0.5555555555555556
fixed_attachment1,dev_march,development,2025-03-08,0.16893402777777777,0.03491588048611111,0.9037096429126842,0.8055555555555556,0.6388888888888888
fixed_attachment1,dev_march,development,2025-03-09,0.0432201388888889,0.002934583263888889,0.9701136975797019,0.8888888888888888,0.75
fixed_attachment1,dev_march,development,2025-03-10,0.05545833333333334,0.0053793306944444445,0.9594452979470136,0.8333333333333334,0.7777777777777778
fixed_attachment1,dev_march,development,2025-03-11,0.04992083333333334,0.0038564801388888906,0.9531273862996626,0.8611111111111112,0.8055555555555556
fixed_attachment1,dev_march,development,2025-03-12,0.04352777777777778,0.0029349755555555562,0.9481327196431003,0.8611111111111112,0.7222222222222222
fixed_attachment1,dev_march,development,2025-03-13,0.05578611111111112,0.005091784305555556,0.9566922844521557,0.8333333333333334,0.75
fixed_attachment1,dev_march,development,2025-03-14,0.17515625,0.036772298263888885,0.894538271497145,0.8888888888888888,0.5833333333333334
fixed_attachment1,dev_march,development,2025-03-15,0.1622222222222222,0.03219771166666666,0.9288616579355182,0.8055555555555556,0.6666666666666666
fixed_attachment1,dev_march,development,2025-03-16,0.045496527777777775,0.0032422210416666666,0.9469984617520134,0.8611111111111112,0.7777777777777778
fixed_attachment1,dev_march,development,2025-03-17,0.038602083333333335,0.002484709097222223,0.9343454540049538,0.8611111111111112,0.6666666666666666
fixed_attachment1,dev_march,development,2025-03-18,0.03935555555555556,0.002611493194444445,0.9630612798614862,0.8888888888888888,0.8611111111111112
fixed_attachment1,dev_march,development,2025-03-19,0.04047986111111111,0.002789232986111112,0.9615843323196165,0.8611111111111112,0.7777777777777778
fixed_attachment1,dev_march,development,2025-03-20,0.04234652777777778,0.002790599375000001,0.9609393211276707,0.8611111111111112,0.7777777777777778
fixed_attachment1,dev_april,development,2025-04-17,0.03655069444444445,0.0022170479861111114,0.9475188164951057,0.8333333333333334,0.75
fixed_attachment1,dev_april,development,2025-04-18,0.20677708333333333,0.053204660347222224,0.9012618699106221,0.8333333333333334,0.6388888888888888
fixed_attachment1,dev_april,development,2025-04-19,0.20822083333333333,0.05416405763888889,0.8940729651322622,0.8055555555555556,0.6111111111111112
fixed_attachment1,dev_april,development,2025-04-20,0.036536111111111116,0.0027636600000000002,0.9556974489411738,0.8888888888888888,0.75
fixed_attachment1,dev_april,development,2025-04-21,0.04619652777777777,0.0037188320138888883,0.9410563142708923,0.8611111111111112,0.6944444444444444
fixed_attachment1,dev_april,development,2025-04-22,0.035166666666666666,0.0019643704166666673,0.9445206381094825,0.8888888888888888,0.6944444444444444
fixed_attachment1,dev_april,development,2025-04-23,0.04229305555555555,0.003123388888888889,0.9515991608497076,0.8333333333333334,0.6944444444444444
fixed_attachment1,dev_april,development,2025-04-24,0.04908611111111111,0.004037985138888888,0.9443477090156226,0.7777777777777778,0.6666666666666666
fixed_attachment1,dev_april,development,2025-04-25,0.22550555555555554,0.06356471749999999,0.8758380866571885,0.7777777777777778,0.5833333333333334
fixed_attachment1,dev_april,development,2025-04-26,0.2283923611111111,0.06763684770833334,0.8718195784294918,0.7777777777777778,0.5
fixed_attachment1,dev_april,development,2025-04-27,0.046647916666666664,0.0037864914583333334,0.9321100843918656,0.8333333333333334,0.6666666666666666
fixed_attachment1,dev_april,development,2025-04-28,0.03850208333333333,0.002429676458333333,0.9636551981453548,0.8611111111111112,0.8055555555555556
fixed_attachment1,dev_april,development,2025-04-29,0.047528472222222215,0.0037890753472222213,0.931983349270405,0.8055555555555556,0.6666666666666666
