method,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed_attachment1,6,84,5508709.05807228,8447.773890105687,3597406.41804093,57249.732170929754,3654656.1502118595,343240.35245326394,390106.15910584596,1559873.0270618822,1263314.5584419393,3654397.0401224946,13422.882924933334,13625.764567361915,62,17,2.595470505184494e-10
lag1,6,84,5519680.876521114,8497.860283413302,3601732.98926999,54178.14831567827,3655911.1375856684,337759.2431884005,392620.9936188122,1633195.6599576212,1322649.011743639,3655619.8925353726,13422.882924933334,13688.96383830477,67,17,4.729372449219227e-11
mean7,6,84,5501757.717897026,8441.098323659962,3590174.90858238,53683.82967708322,3643858.738259463,334242.9944985573,394359.8254715954,1548415.8848229395,1254071.740355739,3643634.07533292,13422.882924933334,13584.134425868791,67,17,8.736833478906192e-11
mean14,6,84,5504029.240799884,8309.559750827586,3589189.3203211445,52901.54857075702,3642090.868891902,336617.53485253855,393496.68278507696,1551799.5364732004,1256826.805343437,3641876.4790901355,13422.882924933334,13568.237591439161,66,17,7.747126397185235e-11
mean28,6,84,5507868.342911249,8438.492055169492,3591714.9413370444,53607.264028338024,3645322.205365382,342110.97367092886,391877.54765137384,1552478.3740812638,1257411.9122204809,3645132.951517777,13422.882924933334,13529.072686425401,65,17,8.833467290969566e-11
weekday35,6,84,5509547.086003915,8396.811957719026,3596911.632003087,56771.39301539545,3653683.025018482,344733.46013398527,388561.642910756,1564742.630289246,1267345.6871556866,3653494.061739658,13422.882924933334,13529.3755678254,59,17,4.6838977141305804e-11
ewma14,6,84,5502213.724479769,8463.118536155209,3591302.8804692123,53799.14299568369,3645102.0234648953,333933.509402537,394482.63452659734,1552047.8549148194,1257039.0076113618,3644894.7903230796,13422.882924933334,13555.943891202125,66,17,8.287770469905809e-11
lag1_shift6h,6,84,5538433.075291407,5931.412578138082,4604227.367017495,17904.88983186619,4622132.256849362,299236.02046349365,444374.80036365776,1651874.645985574,1338372.8307265146,4622234.43875184,13422.882924933334,13029.141282489956,51,17,6.014033715473488e-11
oracle,6,84,5521408.83670285,9105.410993610445,3562921.076769767,60574.578848968726,3623495.6556187356,344278.083380845,386244.40318790235,1645225.3388611507,1332485.4295167713,3623264.9552732483,13422.882924933334,13586.321770223289,65,17,1.2656897752094665e-10
