strategy,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,daily_cvar90,updates,changed_updates,emergency_slots
rolling_scenario_mean14,Q1,59,3717633.2126868553,167.9749195733359,2301101.6678075786,113209.55871345157,908.9739407835924,2415220.2004618137,97732.33934843329,155057.35415650206,2119.6221033981474,1917.4864670654317,0.7464325800376647,2415355.9930239045,65183.77639860602,177,121,15
rolling_scenario_mean14,Q2,91,4992797.625702086,6035.12284147283,3069614.267578387,172627.47120239446,30344.450442153808,3272586.189222935,123360.85152379719,413324.2191248697,1917.4864670654317,2240.492880185187,0.7184711309523809,3272377.32551829,60217.05317052586,273,204,110
rolling_scenario_mean14,Q3,92,5935055.740147724,7083.377151285905,4107544.9893922466,200113.97821895525,37820.8850150277,4345479.85262623,243253.95247096315,472619.7620919465,2240.492880185187,2451.103143296297,0.7795800800120772,4345332.083817039,69419.86979042627,276,218,147
rolling_scenario_mean14,Q4,92,6301225.03065906,6553.552275866482,4168592.22021937,189218.9108204748,41182.43102175827,4398993.562061603,134533.11410878066,181829.1096762359,2451.103143296297,1348.087187444445,0.7812220561594203,4399769.0924153095,78061.1453149853,276,204,76
