date,mae,rmse,mean_bias,forecast_mean,actual_mean
2025-02-01,0.2004217261904762,0.2329530560179595,0.2004217261904762,0.8519147817460317,0.6514930555555556
2025-02-02,0.058378323412698406,0.0839502223445746,0.010463938492063491,0.846852132936508,0.8363881944444445
2025-02-03,0.06154518849206349,0.07969283390178579,-0.0037438988095237994,0.841046378968254,0.8447902777777778
2025-02-04,0.05632113095238094,0.07047560165555984,-0.013050694444444443,0.8361388888888889,0.8491895833333333
2025-02-05,0.05633045634920635,0.06940886011036147,-0.01542847222222222,0.8328256944444444,0.8482541666666665
2025-02-06,0.05786815476190475,0.07074993513273951,-0.016200496031746045,0.8277640873015873,0.8439645833333334
2025-02-07,0.17815094246031746,0.1996620892635892,0.17815094246031746,0.8221898313492064,0.6440388888888888
2025-02-08,0.17513546626984125,0.19602654283819493,0.17513546626984125,0.8174868551587302,0.642351388888889
2025-02-09,0.044169841269841276,0.055211515824072764,-0.02837003968253968,0.813013988095238,0.8413840277777778
2025-02-10,0.036626984126984126,0.04501272911425084,-0.0103951388888889,0.8076687499999999,0.8180638888888889
2025-02-11,0.03905099206349204,0.04669819812119562,-0.026564285714285724,0.8019280753968254,0.8284923611111111
2025-02-12,0.03944007936507937,0.04943963488098929,-0.03001349206349206,0.7964108134920634,0.8264243055555556
2025-02-13,0.03765059523809522,0.04711270780155347,-0.022908134920634916,0.7918828373015874,0.8147909722222221
2025-02-14,0.15499682539682538,0.17591714197232422,0.15468720238095235,0.7857872023809525,0.6311
2025-02-15,0.14306830357142855,0.16150215523478015,0.14220461309523807,0.7800518353174604,0.6378472222222222
2025-02-16,0.053871775793650795,0.06461595079617016,-0.05124508928571428,0.7790771329365079,0.8303222222222222
2025-02-17,0.04441388888888889,0.05266209654270557,-0.03870892857142857,0.7786438492063492,0.8173527777777777
2025-02-18,0.04384007936507937,0.053744533867500624,-0.0378375,0.7766840277777778,0.8145215277777778
2025-02-19,0.04820267857142857,0.05870978881516343,-0.04222212301587301,0.7742077380952381,0.8164298611111112
2025-02-20,0.05015064484126984,0.05997422011770827,-0.044872371031746044,0.7719345734126984,0.8168069444444445
2025-02-21,0.14920228174603173,0.17058487572996064,0.14914474206349204,0.769994742063492,0.62085
