strategy,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,daily_cvar90,updates,changed_updates,emergency_slots
rolling_scenario_mean14,development,89,5235409.269952091,623.6197742205634,3175715.3175739055,160986.30988627512,2981.6024078204223,3339683.2298680013,128572.94291711181,321184.2246286227,2119.6221033981474,1693.1472904864224,0.7303922986891385,3339963.5743950433,62734.45179485258,267,180,34
rolling_scenario_mean14,validation,123,7631201.458622305,11916.764558155954,5157336.216603023,271131.16391243663,62208.20893419428,5490675.589449654,221177.98909184834,543474.6527332661,1693.1472904864224,2341.972129475307,0.7685239216350498,5490226.815780912,68567.09090623305,369,292,224
rolling_scenario_mean14,evaluation,122,8080100.880621329,7299.642855822037,5313801.610820654,243052.4451565643,45066.92907770867,5601920.985054926,249129.32544301415,358171.5676876653,2341.972129475307,1348.087187444445,0.7662363501821494,5602606.38074836,77199.07645577459,366,275,90
