period,baseline,price_forecast_effect,storage_control_effect,combined_effect,interaction
development,934939.261780394,-235.98172334593255,7871.313230502186,7317.473383176606,-317.85812397964764
validation,1335282.0834708852,93.16219704644755,14174.048344364157,14131.669457433978,-135.5410839766264
evaluation,1373412.7300816406,2429.7908710150514,8549.07785890717,10718.410226399545,-260.45850352267735
