method,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,preserved_emergency_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,reserve_solves,reserve_failures,max_audit
fixed_greedy,6,84,5508709.05807228,8447.77389010569,3597406.41804093,57249.73217092976,3654656.1502118595,343240.35245326394,390106.15910584596,1559873.0270618822,1263314.558441939,0.0,3654397.040122495,13422.882924933336,13625.764567361915,62,0,0,2.595470505184494e-10
mean7_greedy,6,84,5501757.717897026,8441.098323659964,3590174.9085823796,53683.82967708323,3643858.738259463,334242.99449855735,394359.8254715954,1548415.8848229393,1254071.740355739,0.0,3643634.07533292,13422.882924933336,13584.134425868791,67,0,0,8.736833478906192e-11
netload_shape_greedy,6,84,5507993.81999102,8410.903644423779,3592669.1378405727,53441.16268466706,3646110.30052524,344031.9537585338,390180.08215141564,1551817.1850358858,1256876.3490937247,0.0,3645921.0466776355,13422.882924933336,13529.072686425403,63,0,0,2.0463630789890885e-11
mean7_value_update,6,84,5499447.641300763,16606.034015642843,3589139.392653568,85572.68853754741,3674712.0811911155,340133.0327728442,395785.7784092274,1538848.8422070686,1245965.8298560677,15946.582790785707,3674228.5147666936,13422.882924933336,13980.36329344234,514,336,0,8.736833478906192e-11
netload_shape_value_update,6,84,5505635.98572442,16322.275804621899,3591642.4089276227,84452.35327125883,3676094.7621988812,349895.33391505585,391544.30629806116,1542261.787484785,1248995.0179521933,15731.491147002858,3675801.62839993,13422.882924933336,13686.249492136516,484,336,0,2.0463630789890885e-11
mean7_value_shift6h,6,84,5488571.611062716,26258.118931413308,3584765.8765079007,143338.8191396344,3728104.695647535,340075.49484017753,395861.5406625936,1528405.8652640833,1236765.022556059,25631.29137655617,3727088.0353682223,13422.882924933336,14804.803266987314,531,336,0,1.1095835361629725e-10
oracle_greedy,6,84,5521408.83670285,9105.410993610447,3562921.076769767,60574.57884896873,3623495.655618736,344278.08338084497,386244.4031879024,1645225.338861151,1332485.4295167713,0.0,3623264.9552732483,13422.882924933336,13586.321770223289,65,0,0,1.2656897752094665e-10
oracle_value_update,6,84,5519094.855199229,17700.20468215236,3561921.4999815905,91835.51356949311,3653757.0135510834,350727.1893461959,387756.94718920044,1635067.8373387053,1324008.7657760533,17059.311932342847,3653345.242582357,13422.882924933336,13863.085667486783,556,336,0,1.2656897752094665e-10
