method,days,mae,rmse,rank_correlation
fixed_greedy,84,0.09593184523809524,0.13265616113959294,0.9251318275552026
mean7_greedy,84,0.08082018376795162,0.10314032396870279,0.9523311552491561
netload_shape_greedy,84,0.05065513733864678,0.06973751089241607,0.9474193985611218
mean7_value_update,84,0.08082018376795162,0.10314032396870279,0.9523311552491561
netload_shape_value_update,84,0.05065513733864678,0.06973751089241607,0.9474193985611218
mean7_value_shift6h,84,0.08082018376795162,0.10314032396870279,0.9523311552491561
oracle_greedy,84,0.0,0.0,1.0
oracle_value_update,84,0.0,0.0,1.0
