method,window,period,date,mae,mse,rank_correlation
fixed_greedy,dev_march,development,2025-03-07,0.1576958333333333,0.029707297361111114,0.9011697305021121
fixed_greedy,dev_march,development,2025-03-08,0.16893402777777777,0.03491588048611111,0.9037096429126842
fixed_greedy,dev_march,development,2025-03-09,0.0432201388888889,0.002934583263888889,0.9701136975797019
fixed_greedy,dev_march,development,2025-03-10,0.05545833333333334,0.0053793306944444445,0.9594452979470136
fixed_greedy,dev_march,development,2025-03-11,0.04992083333333334,0.0038564801388888906,0.9531273862996626
fixed_greedy,dev_march,development,2025-03-12,0.04352777777777778,0.0029349755555555562,0.9481327196431003
fixed_greedy,dev_march,development,2025-03-13,0.05578611111111112,0.005091784305555556,0.9566922844521557
fixed_greedy,dev_march,development,2025-03-14,0.17515625,0.036772298263888885,0.894538271497145
fixed_greedy,dev_march,development,2025-03-15,0.1622222222222222,0.03219771166666666,0.9288616579355182
fixed_greedy,dev_march,development,2025-03-16,0.045496527777777775,0.0032422210416666666,0.9469984617520134
fixed_greedy,dev_march,development,2025-03-17,0.038602083333333335,0.002484709097222223,0.9343454540049538
fixed_greedy,dev_march,development,2025-03-18,0.03935555555555556,0.002611493194444445,0.9630612798614862
fixed_greedy,dev_march,development,2025-03-19,0.04047986111111111,0.002789232986111112,0.9615843323196165
fixed_greedy,dev_march,development,2025-03-20,0.04234652777777778,0.002790599375000001,0.9609393211276707
fixed_greedy,dev_april,development,2025-04-17,0.03655069444444445,0.0022170479861111114,0.9475188164951057
fixed_greedy,dev_april,development,2025-04-18,0.20677708333333333,0.053204660347222224,0.9012618699106221
fixed_greedy,dev_april,development,2025-04-19,0.20822083333333333,0.05416405763888889,0.8940729651322622
fixed_greedy,dev_april,development,2025-04-20,0.036536111111111116,0.0027636600000000002,0.9556974489411738
fixed_greedy,dev_april,development,2025-04-21,0.04619652777777777,0.0037188320138888883,0.9410563142708923
fixed_greedy,dev_april,development,2025-04-22,0.035166666666666666,0.0019643704166666673,0.9445206381094825
fixed_greedy,dev_april,development,2025-04-23,0.04229305555555555,0.003123388888888889,0.9515991608497076
fixed_greedy,dev_april,development,2025-04-24,0.04908611111111111,0.004037985138888888,0.9443477090156226
fixed_greedy,dev_april,development,2025-04-25,0.22550555555555554,0.06356471749999999,0.8758380866571885
fixed_greedy,dev_april,development,2025-04-26,0.2283923611111111,0.06763684770833334,0.8718195784294918
fixed_greedy,dev_april,development,2025-04-27,0.046647916666666664,0.0037864914583333334,0.9321100843918656
fixed_greedy,dev_april,development,2025-04-28,0.03850208333333333,0.002429676458333333,0.9636551981453548
fixed_greedy,dev_april,development,2025-04-29,0.047528472222222215,0.0037890753472222213,0.931983349270405
fixed_greedy,dev_april,development,2025-04-30,0.05037986111111111,0.004750564791666666,0.960199704807787
fixed_greedy,val_june,validation,2025-06-08,0.05314305555555555,0.0039358127777777765,0.9214778257047901
fixed_greedy,val_june,validation,2025-06-09,0.06280208333333334,0.005899641875000002,0.935437619949882
fixed_greedy,val_june,validation,2025-06-10,0.05989861111111112,0.005287879166666667,0.9406543544540272
fixed_greedy,val_june,validation,2025-06-11,0.07042847222222222,0.007368460902777778,0.9377125047393668
fixed_greedy,val_june,validation,2025-06-12,0.06978749999999999,0.00712237375,0.9322164516113783
fixed_greedy,val_june,validation,2025-06-13,0.12652916666666666,0.021202967638888886,0.9136527502195619
fixed_greedy,val_june,validation,2025-06-14,0.13436319444444444,0.025383624652777777,0.8844565952500458
fixed_greedy,val_june,validation,2025-06-15,0.06550069444444445,0.006211368680555556,0.9349805882380995
fixed_greedy,val_june,validation,2025-06-16,0.06272222222222222,0.0062288351388888885,0.9404121494745739
