strategy,window,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_scenario_shuffled,dev_april,development,2025-04-27,53355.952548668836,0.0,32811.835787248405,2254.2172261114456,0.0,35066.05301335985,250.85946000000024,1215.9730130589833,1602.7355047036986,1350.1448577564208,3,3,0
rolling_scenario_shuffled,dev_april,development,2025-04-28,61845.130579592405,12.703348312999491,37248.421402745764,2053.912364350169,60.671191542885566,39363.00495863881,1317.454480403647,0.0,1350.1448577564208,1316.0411512323462,3,3,1
rolling_scenario_shuffled,dev_april,development,2025-04-29,51901.82404434073,0.0,31725.39816932536,1209.4994557611521,0.0,32934.89762508651,179.33870187306582,654.3739663580233,1316.0411512323462,1517.2154249629618,3,3,0
rolling_scenario_shuffled,dev_april,development,2025-04-30,51196.44849939119,289.4844066666669,30802.77911650442,546.0378941685326,1532.1377418000013,32880.95475247296,65.7558044444446,0.0,1517.2154249629618,1265.3233534965918,3,3,3
rolling_scenario_shuffled,val_june,validation,2025-06-08,69762.3905447863,0.0,47310.192088939104,2910.22351233482,0.0,50220.415601273926,810.4397595473266,0.0,1980.7640098607806,2072.0893113085176,3,3,0
rolling_scenario_shuffled,val_june,validation,2025-06-09,77134.98200566364,0.0,53573.844086925725,652.5558704806097,0.0,54226.399957406335,1887.7641645769545,114.75871666666671,2072.0893113085176,2104.2868435153946,3,3,0
rolling_scenario_shuffled,val_june,validation,2025-06-10,78634.66535160695,0.0,54392.80776928514,2789.739305693959,0.0,57182.5470749791,2864.4460061810596,0.0,2104.2868435153946,2139.630841222223,3,2,0
rolling_scenario_shuffled,val_june,validation,2025-06-11,82644.39528535402,0.0,57453.61307447562,2594.0245580719425,0.0,60047.637632547565,2263.4226167050733,0.0,2139.630841222223,2020.4331764558551,3,3,0
rolling_scenario_shuffled,val_june,validation,2025-06-12,77654.80502583132,0.0,53423.96021126144,3526.366836851633,0.0,56950.32704811307,1050.5829269547316,0.0,2020.4331764558551,1918.4674499396422,3,3,0
rolling_scenario_shuffled,val_june,validation,2025-06-13,35978.72175505563,0.0,18081.99580664876,717.5611210162745,0.0,18799.556927665035,356.6230631449506,4761.812722775034,1918.4674499396422,1904.3527220911783,3,2,0
rolling_scenario_shuffled,val_june,validation,2025-06-14,34464.78998021644,0.0,18045.417647354017,895.0107019361757,0.0,18940.428349290192,31.525499999999965,5449.961976570649,1904.3527220911783,2170.821448661288,3,2,0
rolling_scenario_shuffled,val_june,validation,2025-06-15,78271.3777336079,0.0,53586.93674513179,2253.739906654154,0.0,55840.67665178594,3427.4270836163273,0.0,2170.821448661288,2388.7120754074112,3,1,0
rolling_scenario_shuffled,val_june,validation,2025-06-16,77849.23395041494,15.041276666666704,53782.36795836442,2295.502246994655,101.4458904783336,56179.31609583741,983.3969764609072,0.0,2388.7120754074112,2351.168820236901,3,3,1
rolling_scenario_shuffled,val_june,validation,2025-06-17,80556.17167361498,0.0,55766.754509527345,2231.031283295228,0.0,57997.78579282257,2497.8382709657103,0.0,2351.168820236901,1594.4579614489592,3,2,0
rolling_scenario_shuffled,val_june,validation,2025-06-18,79486.0573855116,0.0,54836.64996226713,3700.7325810928946,0.0,58537.38254336003,3652.109654482847,0.0,1594.4579614489592,2612.5045988818674,3,3,0
rolling_scenario_shuffled,val_june,validation,2025-06-19,74315.8720362916,56.804410000000075,51034.181611534856,5467.399592650298,388.4152891583339,56889.99649334349,2890.0155158367593,0.0,2612.5045988818674,1764.0309487004724,3,2,2
