strategy,period,windows,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,inventory_adjusted_cost,daily_cvar90,total_window_start_energy,total_window_end_energy,updates,changed_updates,emergency_slots
no_update_mean14,all,6,84,5089769.976417602,180215.2248133972,3276249.382460198,0.0,1082286.8311886496,4358536.213648847,168349.57977698592,322033.7700011663,4360508.428388995,101068.62623777233,13115.056345087229,10084.938511222223,0,0,1292
state_only_mean14,all,6,84,5169748.858211107,77012.55945395306,3385038.891841782,77822.78169965764,381190.19685454125,3844051.870395981,143469.49195595208,316607.5916265157,3845929.0998991393,83498.7766509061,13115.056345087229,10217.431494388888,252,188,1088
rolling_margin_mean14,all,6,84,5290735.084664226,934.1742944111166,3456325.6196768493,148223.2596290168,6526.202977709744,3611075.082283576,170700.26710247205,330399.09354672977,3610178.746613887,74128.21520305041,13115.056345087229,14218.491063660504,252,212,43
rolling_scenario_mean14,all,6,84,5283739.634784919,577.635802385548,3456132.5564890797,170810.98337226862,3890.6802205952017,3630834.2200819436,174801.26370645943,320359.7392447051,3630803.721683348,75327.2359599767,13115.056345087229,13013.529119905363,252,180,34
rolling_scenario_shuffled,all,6,84,5240282.254064849,3380.516809583479,3423158.7895773123,147359.28541814393,19187.930227630157,3589706.0052230866,143166.60281536373,308555.1599246413,3590048.9151925053,75204.81470470074,13115.056345087229,12430.089501503557,252,189,87
rolling_scenario_price_update,all,6,84,5282971.726168909,577.635802385548,3456119.379754954,170953.52395091226,3890.6802205952017,3630963.583926461,174388.1417355018,320370.8588947051,3630717.2765601412,75325.85315270258,13115.056345087229,13327.457708413905,252,181,34
