method,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed,6,84,5508709.05807228,8447.77389010569,3597406.41804093,57249.73217092976,3654656.1502118595,343240.35245326394,390106.15910584596,1559873.0270618822,1263314.558441939,3654397.040122495,13422.882924933336,13625.764567361915,62,17,2.595470505184494e-10
mean7,6,84,5501757.717897026,8441.098323659964,3590174.9085823796,53683.82967708323,3643858.738259463,334242.99449855735,394359.8254715954,1548415.8848229393,1254071.740355739,3643634.07533292,13422.882924933336,13584.134425868791,67,17,8.736833478906192e-11
mean14,6,84,5504029.240799884,8309.559750827588,3589189.320321145,52901.548570757026,3642090.868891902,336617.53485253855,393496.682785077,1551799.5364732002,1256826.805343437,3641876.4790901365,13422.882924933336,13568.237591439161,66,17,7.747126397185235e-11
rolling_cost_selector,6,84,5503498.128044845,8359.399938190445,3589469.288098083,53233.55631132876,3642702.844409412,336477.25751956267,393227.1261553426,1551652.0152583055,1256750.7227335086,3642517.831911083,13422.882924933336,13520.00473128784,63,17,1.1118572729174048e-10
load_scenario_selector,6,84,5503993.725941861,8691.861154611399,3589441.46978952,56226.88158342466,3645668.3513729447,336874.0372868748,392945.9821325126,1554433.8222069005,1258820.1063131485,3645346.6800751337,13422.882924933336,13724.315896534401,68,17,1.1118572729174048e-10
joint_scenario_selector,6,84,5502489.383880736,8707.58677965902,3589603.308450689,56359.340762737185,3645962.6492134263,335196.74560900766,393090.6210323161,1554665.5924278821,1259007.8401921438,3645640.9779156153,13422.882924933336,13724.315896534401,68,17,5.6009715384182826e-11
shuffled_scenario_selector,6,84,5502138.788897624,8367.64071734378,3589326.593669716,53201.84189507804,3642528.4355647936,334589.05735243275,393187.83892117685,1553717.8520188653,1258240.17046084,3642206.764266982,13422.882924933336,13724.315896534401,65,17,5.6009715384182826e-11
oracle_plan_daily,6,84,5502539.367485833,7691.950306005681,3586145.059946028,49364.651323756894,3635509.7112697847,336736.1139924515,391249.9270911263,1551592.3352485183,1256598.9103235905,3635243.999456785,13422.882924933336,13634.973177943924,63,17,5.6009715384182826e-11
